"TOON","LEVEL","GEARSLOT1","GEARSLOT2","GEARSLOT3","GEARSLOT4","GEARSLOT5","GEARSLOT6"
"aayla-secura","1","mk-1-taggeco-holo-lens","mk-1-taggeco-holo-lens","mk-1-nubian-security-scanner","mk-1-loronar-power-cell","mk-1-neuro-saav-electrobinoculars","mk-1-cec-fusion-furnace"
"aayla-secura","2","mk-1-neuro-saav-electrobinoculars","mk-1-neuro-saav-electrobinoculars","mk-1-chiewab-hypo-syringe","mk-2-neuro-saav-electrobinoculars","mk-2-arakyd-droid-caller","mk-1-sienar-holo-projector"
"aayla-secura","3","mk-2-sorosuub-keypad","mk-4-blastech-weapon-mod","mk-3-nubian-security-scanner","mk-4-loronar-power-cell","mk-1-chedak-comlink","mk-6-fabritech-data-pad"
"aayla-secura","4","mk-2-merr-sonn-thermal-detonator","mk-5-biotech-implant","mk-2-merr-sonn-shield-generator","mk-3-chiewab-hypo-syringe","mk-6-baw-armor-mod","mk-4-nubian-security-scanner"
"aayla-secura","5","mk-3-nubian-security-scanner","mk-4-loronar-power-cell","mk-6-blastech-weapon-mod","mk-6-baw-armor-mod","mk-4-chiewab-hypo-syringe","mk-4-merr-sonn-thermal-detonator"
"aayla-secura","6","mk-4-fabritech-data-pad","mk-7-blastech-weapon-mod","mk-3-sienar-holo-projector","mk-3-sienar-holo-projector","mk-5-nubian-security-scanner","mk-5-nubian-design-tech"
"aayla-secura","7","mk-4-nubian-design-tech","mk-7-fabritech-data-pad","mk-1-zaltin-bacta-gel","mk-3-sienar-holo-projector","mk-4-sorosuub-keypad","mk-6-merr-sonn-shield-generator"
"aayla-secura","8","mk-4-nubian-security-scanner","mk-5-chiewab-hypo-syringe","mk-8-taggeco-holo-lens","mk-6-chiewab-hypo-syringe","mk-3-czerka-stun-cuffs","mk-5-cec-fusion-furnace"
"aayla-secura","9","mk-7-loronar-power-cell","mk-4-sorosuub-keypad","mk-7-taggeco-holo-lens","mk-3-carbanti-sensor-array","mk-9-blastech-weapon-mod","mk-4-chedak-comlink"
"aayla-secura","10","mk-4-arakyd-droid-caller","mk-6-merr-sonn-shield-generator","mk-3-carbanti-sensor-array","mk-5-akt-stun-gun","mk-5-merr-sonn-thermal-detonator","mk-8-biotech-implant"
"aayla-secura","11","mk-9-fabritech-data-pad","mk-6-merr-sonn-thermal-detonator","mk-8-taggeco-holo-lens","mk-4-sienar-holo-projector","unknown-gear","unknown-gear"
"admiral-ackbar","1","mk-1-baw-armor-mod","mk-1-neuro-saav-electrobinoculars","mk-1-biotech-implant","mk-1-biotech-implant","mk-1-akt-stun-gun","mk-1-cec-fusion-furnace"
"admiral-ackbar","2","mk-1-neuro-saav-electrobinoculars","mk-1-neuro-saav-electrobinoculars","mk-2-baw-armor-mod","mk-1-arakyd-droid-caller","mk-2-sorosuub-keypad","mk-1-sienar-holo-projector"
"admiral-ackbar","3","mk-1-sienar-holo-projector","mk-3-fabritech-data-pad","mk-3-nubian-security-scanner","mk-3-biotech-implant","mk-5-loronar-power-cell","mk-4-taggeco-holo-lens"
"admiral-ackbar","4","mk-5-loronar-power-cell","mk-5-blastech-weapon-mod","mk-6-loronar-power-cell","mk-3-chiewab-hypo-syringe","mk-7-blastech-weapon-mod","mk-3-nubian-design-tech"
"admiral-ackbar","5","mk-1-merr-sonn-thermal-detonator","mk-4-loronar-power-cell","mk-2-merr-sonn-shield-generator","mk-3-merr-sonn-thermal-detonator","mk-7-baw-armor-mod","mk-1-zaltin-bacta-gel"
"admiral-ackbar","6","mk-7-blastech-weapon-mod","mk-2-carbanti-sensor-array","mk-3-sienar-holo-projector","mk-4-loronar-power-cell","mk-4-arakyd-droid-caller","mk-5-nubian-design-tech"
"admiral-ackbar","7","mk-3-chiewab-hypo-syringe","mk-3-sienar-holo-projector","mk-4-arakyd-droid-caller","mk-4-arakyd-droid-caller","mk-2-zaltin-bacta-gel","mk-6-merr-sonn-shield-generator"
"admiral-ackbar","8","mk-4-nubian-design-tech","mk-4-akt-stun-gun","mk-8-taggeco-holo-lens","mk-6-chiewab-hypo-syringe","mk-7-biotech-implant","mk-5-arakyd-droid-caller"
"admiral-ackbar","9","mk-3-merr-sonn-thermal-detonator","mk-4-sorosuub-keypad","mk-5-arakyd-droid-caller","mk-7-nubian-security-scanner","mk-8-baw-armor-mod","mk-4-chedak-comlink"
"admiral-ackbar","10","mk-3-sienar-holo-projector","mk-6-neuro-saav-electrobinoculars","mk-6-merr-sonn-shield-generator","mk-8-fabritech-data-pad","mk-6-nubian-design-tech","mk-8-biotech-implant"
"admiral-ackbar","11","mk-4-sienar-holo-projector","mk-8-biotech-implant","mk-5-athakam-medpac","mk-4-sienar-holo-projector","mk-6-merr-sonn-thermal-detonator","unknown-gear"
"ahsoka-tano","1","mk-1-blastech-weapon-mod","mk-1-blastech-weapon-mod","mk-1-baw-armor-mod","mk-1-baw-armor-mod","mk-1-loronar-power-cell","mk-1-loronar-power-cell"
"ahsoka-tano","2","mk-1-loronar-power-cell","mk-2-blastech-weapon-mod","mk-2-nubian-security-scanner","mk-2-cec-fusion-furnace","mk-2-biotech-implant","mk-3-fabritech-data-pad"
"ahsoka-tano","3","mk-1-merr-sonn-shield-generator","mk-4-blastech-weapon-mod","mk-4-biotech-implant","mk-5-baw-armor-mod","mk-1-athakam-medpac","mk-5-biotech-implant"
"ahsoka-tano","4","mk-2-cec-fusion-furnace","mk-2-cec-fusion-furnace","mk-4-biotech-implant","mk-6-fabritech-data-pad","mk-6-baw-armor-mod","mk-4-nubian-security-scanner"
"ahsoka-tano","5","mk-2-akt-stun-gun","mk-4-biotech-implant","mk-3-sorosuub-keypad","mk-3-sorosuub-keypad","mk-6-baw-armor-mod","mk-4-merr-sonn-thermal-detonator"
